,Arabic,Amharic
0,አይ,لا
1,من,ከ
2,في ,በ ውስጥ
3,أن ,ያ
4,هذا ,ይህ
5,على ,በእኔ ላይ
6,ما ,ምንድን
7,أنا ,እኔ
8,هل ,አንተ
9,و ,እና
10,يا ,ሄይ
11,ذلك ,ያ
12,لقد ,ሊን
13,لم ,አላደረገም
14,ماذا ,ምንድን
15,كان ,ነበር
16,هنا ,እዚ 'ጋ
17,إلى ,ለኔ
18,أنت ,አንተ ነህ
19,هو ,እሱ ነው
20,هذه ,ይህ ነው
21,عن ,ስለ
22,نعم ,አዎ
23,ان ,ያ
24,هناك ,እዚያ
25,كل ,ሁሉም
26,حسناً ,ደህና
27,ليس ,አይደለም
28,كنت ,እነ ነበርኩ
29,فقط ,በቃ
30,شيء ,የሆነ ነገር
31,الآن ,አሁን
32,مع ,ከ ጋር
33,الذي ,ያ
34,لكن ,ግን
35,أجل ,አዎ
36,لك ,ለእርስዎ
37,يجب ,መሆን አለበት
38,لن ,አይሆንም
39,كيف ,እንዴት
40,حسنا ,ጥሩ
41,انا ,እኔ
42,لي ,የኔ
43,إنه ,እሱ ነው ሀ
44,سوف ,ይሆናል
45,نحن ,እኛ
46,إذا ,ከሆነ
47,كانت ,እሷ ነች
48,عندما ,መቼ
49,أي ,የትኛው
50,قد ,ምን አልባት
51,لماذا ,እንዴት
52,هي ,እርሷ
53,الأمر ,ትዕዛዝ
54,أنه ,እሱ ነው ሀ
55,فى ,በ ውስጥ
56,حتى ,እስከ
57,بعد ,ርቀት
58,كذلك ,እንደዚያ
59,أو ,ወይም
60,ولكن ,ግን
61,التي ,ያ
62,انه ,እሱ ነው ሀ
63,إنها ,ያ ነው
64,ربما ,ምናልባት
65,أين ,የት
66,هيا ,ኧረ
67,تلك ,ያ
68,أعرف ,አውቃለሁ
69,الى ,ለኔ
70,إن ,ያ
71,يكون ,መሆን አለበት
72,بعض ,አንዳንድ
73,أريد ,እፈልጋለሁ
74,أعتقد ,አምናለው
75,انت ,አንቺ
76,عليك ,በአንተ ላይ
77,مثل ,እንደ
78,صحيح ,ቀኝ
79,به ,ጋር
80,أنك ,አንተ ነህ
81,بخير ,ደህና
82,أعلم ,እወቅ
83,أحد ,አንድ
84,شخص ,ሰው
85,جداً ,በጣም
86,رجل ,ሰው
87,شكراً ,አመሰግናለሁ
88,لذا ,ስለዚህ
89,يمكن ,ይችላል
90,كما ,እንደ
91,كلا ,ሁለቱም
92,أكثر ,ተጨማሪ
93,يبدو ,ይመስላል
94,جيد ,ጥሩ
95,تكون ,ቅሬታ
96,علي ,በርቷል
